2019-04-24 15:09:32,302 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /add/ 200 [0.11, 127.0.0.1:64189]
2019-04-24 15:09:32,352 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64189]
2019-04-24 15:09:33,559 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /hard/ 200 [0.03, 127.0.0.1:64189]
2019-04-24 15:09:33,620 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64189]
2019-04-24 15:09:33,766 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/js/images/sort_both.png 200 [0.01, 127.0.0.1:64189]
2019-04-24 15:09:33,868 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/js/images/sort_asc.png 200 [0.01, 127.0.0.1:64189]
2019-04-24 15:09:34,297 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /shell/ 200 [0.03, 127.0.0.1:64189]
2019-04-24 15:09:34,371 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/js/jquery-1.11.1.min.js 200 [0.03, 127.0.0.1:64196]
2019-04-24 15:09:34,379 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/js/jquery.ztree.core.js 200 [0.04, 127.0.0.1:64188]
2019-04-24 15:09:34,390 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/js/csrf.js 200 [0.05, 127.0.0.1:64194]
2019-04-24 15:09:34,391 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/js/bootstrapStyle.css 200 [0.06, 127.0.0.1:64189]
2019-04-24 15:09:34,400 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/js/jquery.ztree.excheck.js 200 [0.06, 127.0.0.1:64195]
2019-04-24 15:09:34,415 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/js/bootstrap.js 200 [0.08, 127.0.0.1:64193]
2019-04-24 15:09:34,427 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.04, 127.0.0.1:64194]
2019-04-24 15:09:34,633 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /tree/ 200 [0.01, 127.0.0.1:64194]
2019-04-24 15:09:34,665 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /getTemplate/?order=asc 200 [0.02, 127.0.0.1:64194]
2019-04-24 15:09:34,699 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/js/img/bootstrap.png 200 [0.01, 127.0.0.1:64194]
2019-04-24 15:10:37,673 [Dummy-1:3928] [django.channels.server:147] [runserver:log_action] [INFO]- HTTP GET / 302 [0.03, 127.0.0.1:64259]
2019-04-24 15:10:38,872 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.03, 127.0.0.1:64259]
2019-04-24 15:10:38,918 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:39,385 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP POST /getServerList/ 200 [0.05, 127.0.0.1:64259]
2019-04-24 15:10:42,355 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:42,430 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.04, 127.0.0.1:64259]
2019-04-24 15:10:42,499 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP POST /getServerList/ 200 [0.03, 127.0.0.1:64259]
2019-04-24 15:10:44,582 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /add/ 200 [0.05, 127.0.0.1:64259]
2019-04-24 15:10:44,639 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:45,223 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /hard/ 200 [0.02, 127.0.0.1:64259]
2019-04-24 15:10:45,263 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:45,870 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /shell/ 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:45,927 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:46,057 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /tree/ 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:46,083 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /getTemplate/?order=asc 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:46,952 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64259]
2019-04-24 15:10:47,001 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64259]
2019-04-24 15:10:47,855 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /queue/ 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:47,898 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64259]
2019-04-24 15:10:48,788 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /shell/ 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:48,829 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64259]
2019-04-24 15:10:48,914 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /tree/ 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:48,942 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /getTemplate/?order=asc 200 [0.01, 127.0.0.1:64259]
2019-04-24 15:10:49,446 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64259]
2019-04-24 15:10:49,486 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64259]
2019-04-24 15:14:23,216 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.03, 127.0.0.1:64305]
2019-04-24 15:14:23,299 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64305]
2019-04-24 15:14:28,287 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64305]
2019-04-24 15:14:28,331 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64305]
2019-04-24 15:14:32,192 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64305]
2019-04-24 15:14:32,232 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64305]
2019-04-24 15:14:40,378 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.01, 127.0.0.1:64305]
2019-04-24 15:14:40,429 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64305]
